buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 0, reward:-110.28710359609153,unbalance:6043.44897068986,buffer_length: 10000
curren epsiode is 1, reward:-36.02428219494773,unbalance:3099.70729816267,buffer_length: 11000
curren epsiode is 2, reward:-22.662910042909655,unbalance:2207.717464598329,buffer_length: 11000
curren epsiode is 3, reward:-16.776132920564237,unbalance:1645.210729542632,buffer_length: 11000
curren epsiode is 4, reward:-20.38699639565109,unbalance:1919.0162528399312,buffer_length: 11000
curren epsiode is 5, reward:-22.94425294607323,unbalance:2243.576688445272,buffer_length: 11000
curren epsiode is 6, reward:-17.803128985974734,unbalance:1679.384202090254,buffer_length: 11000
curren epsiode is 7, reward:-20.987454243861126,unbalance:2004.2984209813296,buffer_length: 11000
curren epsiode is 8, reward:-14.967864500474722,unbalance:1422.86774321746,buffer_length: 11000
curren epsiode is 9, reward:-11.848280853262812,unbalance:1141.569218813332,buffer_length: 11000
curren epsiode is 10, reward:-27.47914060792378,unbalance:2708.3644028275307,buffer_length: 11000
curren epsiode is 11, reward:-18.85254074363302,unbalance:1788.734423247222,buffer_length: 12000
curren epsiode is 12, reward:-30.437320083906492,unbalance:2900.4880091631253,buffer_length: 12000
curren epsiode is 13, reward:-22.855080468696986,unbalance:2194.8045008544327,buffer_length: 12000
curren epsiode is 14, reward:-15.57423715390392,unbalance:1317.2828658373373,buffer_length: 12000
curren epsiode is 15, reward:-15.470954815108549,unbalance:1302.349195770094,buffer_length: 12000
curren epsiode is 16, reward:-9.862850033655373,unbalance:832.2060537849693,buffer_length: 12000
curren epsiode is 17, reward:-21.656577480862477,unbalance:1637.2019895947785,buffer_length: 12000
curren epsiode is 18, reward:-26.943444654620574,unbalance:1555.7201679932766,buffer_length: 12000
curren epsiode is 19, reward:-21.633787537640057,unbalance:1458.9465854296027,buffer_length: 12000
curren epsiode is 20, reward:-15.606439489233805,unbalance:1134.3861273012133,buffer_length: 12000
curren epsiode is 21, reward:-17.292387971637762,unbalance:1131.1472194731282,buffer_length: 13000
curren epsiode is 22, reward:-15.237601109916602,unbalance:1089.0719173569853,buffer_length: 13000
curren epsiode is 23, reward:-10.837277475176625,unbalance:716.519142199106,buffer_length: 13000
curren epsiode is 24, reward:-7.155406874151507,unbalance:472.5278833582241,buffer_length: 13000
curren epsiode is 25, reward:-23.65056266471851,unbalance:1783.592900077869,buffer_length: 13000
curren epsiode is 26, reward:-11.077650289354345,unbalance:832.4244394824382,buffer_length: 13000
curren epsiode is 27, reward:-9.16554649008923,unbalance:679.7028000786827,buffer_length: 13000
curren epsiode is 28, reward:-12.176245345008528,unbalance:707.6741999335449,buffer_length: 13000
curren epsiode is 29, reward:-18.676735770730613,unbalance:1363.2938163627257,buffer_length: 13000
curren epsiode is 30, reward:-10.419129272566348,unbalance:713.6635710472119,buffer_length: 13000
curren epsiode is 31, reward:-12.293927516676039,unbalance:741.9489699667755,buffer_length: 14000
curren epsiode is 32, reward:-22.193216572124715,unbalance:1336.4067418086338,buffer_length: 14000
curren epsiode is 33, reward:-8.402373614739869,unbalance:535.8967139481225,buffer_length: 14000
curren epsiode is 34, reward:-12.111154726037368,unbalance:822.8240558599316,buffer_length: 14000
curren epsiode is 35, reward:-10.308424050213143,unbalance:491.13620075728323,buffer_length: 14000
curren epsiode is 36, reward:-13.123502128999748,unbalance:805.3127525199906,buffer_length: 14000
curren epsiode is 37, reward:-25.003496252357017,unbalance:1449.3229242233137,buffer_length: 14000
curren epsiode is 38, reward:-9.778027611017222,unbalance:509.16404308841334,buffer_length: 14000
curren epsiode is 39, reward:-4.075660269682946,unbalance:215.36407519058193,buffer_length: 14000
curren epsiode is 40, reward:-4.090260154453724,unbalance:155.18620368888344,buffer_length: 14000
curren epsiode is 41, reward:-9.000453431115574,unbalance:536.4144205597748,buffer_length: 15000
curren epsiode is 42, reward:-2.571519663413894,unbalance:53.96433824969582,buffer_length: 15000
curren epsiode is 43, reward:-9.32712806545384,unbalance:496.22216432526676,buffer_length: 15000
curren epsiode is 44, reward:-7.128712763834146,unbalance:269.3442316056756,buffer_length: 15000
curren epsiode is 45, reward:-13.312024559706222,unbalance:683.8346277629647,buffer_length: 15000
curren epsiode is 46, reward:-3.3894780703061094,unbalance:107.41266625382379,buffer_length: 15000
curren epsiode is 47, reward:-14.019926786499251,unbalance:821.9927666048733,buffer_length: 15000
curren epsiode is 48, reward:-6.207513888062072,unbalance:247.98587206519565,buffer_length: 15000
curren epsiode is 49, reward:-8.099069347485841,unbalance:342.91733340048415,buffer_length: 15000
curren epsiode is 50, reward:-5.34718711252896,unbalance:190.08824660955838,buffer_length: 15000
curren epsiode is 51, reward:-8.143167697471252,unbalance:341.9166126638056,buffer_length: 16000
curren epsiode is 52, reward:-7.645735200435093,unbalance:435.72970208478887,buffer_length: 16000
curren epsiode is 53, reward:-6.448365664855466,unbalance:213.51666065932665,buffer_length: 16000
curren epsiode is 54, reward:-5.062084507342013,unbalance:139.059062299414,buffer_length: 16000
curren epsiode is 55, reward:-8.87513314081048,unbalance:424.97404601124504,buffer_length: 16000
