buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 0, reward:-19.73044425463841,unbalance:1335.8050782171608,buffer_length: 10000
curren epsiode is 1, reward:-25.616933039362998,unbalance:1945.5676945033827,buffer_length: 11000
curren epsiode is 2, reward:-30.206950601877352,unbalance:2581.919679088721,buffer_length: 11000
curren epsiode is 3, reward:-22.246090630337576,unbalance:2157.680322040648,buffer_length: 11000
curren epsiode is 4, reward:-14.682342011259642,unbalance:1423.7914720586032,buffer_length: 11000
curren epsiode is 5, reward:-28.4246618760035,unbalance:2775.2702456228135,buffer_length: 11000
curren epsiode is 6, reward:-21.147087768935833,unbalance:2062.9986313417185,buffer_length: 11000
curren epsiode is 7, reward:-8.712098641630186,unbalance:828.7236003611655,buffer_length: 11000
curren epsiode is 8, reward:-16.686378151117108,unbalance:1583.522499757159,buffer_length: 11000
curren epsiode is 9, reward:-25.575469249019747,unbalance:2398.1755779884484,buffer_length: 11000
curren epsiode is 10, reward:-29.74349749224452,unbalance:2838.693984236457,buffer_length: 11000
curren epsiode is 11, reward:-34.47945251938042,unbalance:3359.8660480033577,buffer_length: 12000
curren epsiode is 12, reward:-23.775341703683484,unbalance:2290.5263519827568,buffer_length: 12000
curren epsiode is 13, reward:-10.77203449267245,unbalance:987.7429551198894,buffer_length: 12000
curren epsiode is 14, reward:-33.24885150823941,unbalance:3257.500348583917,buffer_length: 12000
curren epsiode is 15, reward:-18.347778536687695,unbalance:1734.6554119023224,buffer_length: 12000
curren epsiode is 16, reward:-21.584281754450977,unbalance:2036.2423507972574,buffer_length: 12000
curren epsiode is 17, reward:-23.233884852561722,unbalance:2184.595636160079,buffer_length: 12000
curren epsiode is 18, reward:-9.369395491214785,unbalance:798.3790585034712,buffer_length: 12000
curren epsiode is 19, reward:-5.561074350617972,unbalance:412.8346825314242,buffer_length: 12000
curren epsiode is 20, reward:-3.930863594722165,unbalance:321.80218540555444,buffer_length: 12000
curren epsiode is 21, reward:-10.321044631607288,unbalance:677.419444415996,buffer_length: 13000
curren epsiode is 22, reward:-7.7566811012399945,unbalance:568.563133029384,buffer_length: 13000
curren epsiode is 23, reward:-12.202728032439273,unbalance:968.6064042999235,buffer_length: 13000
curren epsiode is 24, reward:-3.1401451818940096,unbalance:89.64020612123574,buffer_length: 13000
curren epsiode is 25, reward:-7.297850020855124,unbalance:112.18525612953825,buffer_length: 13000
curren epsiode is 26, reward:-4.934027252841701,unbalance:157.39706342727163,buffer_length: 13000
curren epsiode is 27, reward:-8.271561913683541,unbalance:226.5086186247371,buffer_length: 13000
curren epsiode is 28, reward:-15.389287924962423,unbalance:969.3781038385125,buffer_length: 13000
curren epsiode is 29, reward:-8.161004143705124,unbalance:443.3160013526213,buffer_length: 13000
curren epsiode is 30, reward:-5.3534613945015455,unbalance:165.4508926857669,buffer_length: 13000
curren epsiode is 31, reward:-5.945987464445005,unbalance:253.55690809316917,buffer_length: 14000
curren epsiode is 32, reward:-7.460517871883587,unbalance:187.5517807852223,buffer_length: 14000
curren epsiode is 33, reward:-10.90407747942327,unbalance:703.2111899486979,buffer_length: 14000
curren epsiode is 34, reward:-5.694831157675762,unbalance:114.29184001700935,buffer_length: 14000
curren epsiode is 35, reward:-5.740446634800182,unbalance:163.71156881949744,buffer_length: 14000
curren epsiode is 36, reward:-11.052123515887894,unbalance:517.1369921063741,buffer_length: 14000
