buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
D:\UCB\Capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\MIP_DQN.py:185: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  states = torch.as_tensor((state,), dtype=torch.float32, device=self.device)
curren epsiode is 0, reward:-16.13002332808372,unbalance:1552.3663906766678,buffer_length: 10000
curren epsiode is 1, reward:-28.690121357350638,unbalance:2745.609954972636,buffer_length: 11000
curren epsiode is 2, reward:-25.707013899377365,unbalance:2498.9421815585583,buffer_length: 11000
curren epsiode is 3, reward:-7.103306421679832,unbalance:670.8059859927322,buffer_length: 11000
curren epsiode is 4, reward:-17.67218607813561,unbalance:1728.2036308580846,buffer_length: 11000
curren epsiode is 5, reward:-18.096967799827677,unbalance:1732.7329265303845,buffer_length: 11000
curren epsiode is 6, reward:-10.535069007277615,unbalance:877.0248105751042,buffer_length: 11000
curren epsiode is 7, reward:-11.06192252748671,unbalance:893.2884469608987,buffer_length: 11000
curren epsiode is 8, reward:-11.644320401945581,unbalance:1035.9650314259623,buffer_length: 11000
curren epsiode is 9, reward:-22.857302005579164,unbalance:1678.047620941682,buffer_length: 11000
curren epsiode is 10, reward:-22.56829848027101,unbalance:1670.288217662656,buffer_length: 11000
curren epsiode is 11, reward:-12.041034859669551,unbalance:938.5228188229071,buffer_length: 12000
curren epsiode is 12, reward:-6.6621399152377485,unbalance:549.3641172866437,buffer_length: 12000
curren epsiode is 13, reward:-23.933378563042083,unbalance:1712.7983581876633,buffer_length: 12000
curren epsiode is 14, reward:-7.454969048683953,unbalance:448.83987701800424,buffer_length: 12000
curren epsiode is 15, reward:-8.113463480652777,unbalance:568.7466694424864,buffer_length: 12000
curren epsiode is 16, reward:-9.274163716228113,unbalance:699.5461808160876,buffer_length: 12000
curren epsiode is 17, reward:-17.415741382645948,unbalance:1267.20896088137,buffer_length: 12000
curren epsiode is 18, reward:-26.541187460365173,unbalance:2057.248960140116,buffer_length: 12000
curren epsiode is 19, reward:-11.53750870027846,unbalance:739.4196706878727,buffer_length: 12000
curren epsiode is 20, reward:-8.246642492166313,unbalance:558.3829865306494,buffer_length: 12000
curren epsiode is 21, reward:-11.290475946632244,unbalance:811.3983064790465,buffer_length: 13000
curren epsiode is 22, reward:-6.812413903685125,unbalance:317.13400083575226,buffer_length: 13000
curren epsiode is 23, reward:-23.00481225468561,unbalance:1777.638014144714,buffer_length: 13000
