buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 0, reward:-167.70047110501469,unbalance:8426.473588773975,buffer_length: 10000
curren epsiode is 1, reward:-33.19547531148123,unbalance:3242.0393170996285,buffer_length: 11000
curren epsiode is 2, reward:-27.282142523186497,unbalance:2363.0178035944955,buffer_length: 11000
curren epsiode is 3, reward:-16.419682511084858,unbalance:1563.544523241605,buffer_length: 11000
curren epsiode is 4, reward:-19.831547507519286,unbalance:1871.8014241784374,buffer_length: 11000
curren epsiode is 5, reward:-25.13315205990534,unbalance:2342.4095796762617,buffer_length: 11000
curren epsiode is 6, reward:-17.82220674288028,unbalance:1615.35616162835,buffer_length: 11000
curren epsiode is 7, reward:-22.62059407965717,unbalance:2156.5676439429726,buffer_length: 11000
curren epsiode is 8, reward:-14.724045131585509,unbalance:1379.891353519223,buffer_length: 11000
curren epsiode is 9, reward:-8.662985635229678,unbalance:691.9594100824238,buffer_length: 11000
curren epsiode is 10, reward:-26.620199897447183,unbalance:2385.5241001992144,buffer_length: 11000
curren epsiode is 11, reward:-14.26955148712232,unbalance:1065.3053836860854,buffer_length: 12000
curren epsiode is 12, reward:-27.46734824615533,unbalance:2447.9237163192197,buffer_length: 12000
curren epsiode is 13, reward:-22.77660094699671,unbalance:2173.196202104469,buffer_length: 12000
curren epsiode is 14, reward:-16.732543772542503,unbalance:1581.4903231962726,buffer_length: 12000
curren epsiode is 15, reward:-16.58177242700188,unbalance:1581.4582630924313,buffer_length: 12000
curren epsiode is 16, reward:-7.936271386372983,unbalance:349.1513643444395,buffer_length: 12000
curren epsiode is 17, reward:-17.52759543327807,unbalance:691.1009562759432,buffer_length: 12000
curren epsiode is 18, reward:-33.536624566606704,unbalance:1882.0338322389805,buffer_length: 12000
curren epsiode is 19, reward:-26.275687054320517,unbalance:1051.1454032744891,buffer_length: 12000
curren epsiode is 20, reward:-23.482435484827032,unbalance:868.9457340437956,buffer_length: 12000
curren epsiode is 21, reward:-18.11088877879523,unbalance:840.702527252813,buffer_length: 13000
curren epsiode is 22, reward:-15.179504191056521,unbalance:775.827685123283,buffer_length: 13000
curren epsiode is 23, reward:-18.678995461974576,unbalance:1333.5486988403343,buffer_length: 13000
curren epsiode is 24, reward:-13.972849025163853,unbalance:1027.1091432718447,buffer_length: 13000
curren epsiode is 25, reward:-23.94388184397001,unbalance:1943.3123228641966,buffer_length: 13000
curren epsiode is 26, reward:-12.606252141274444,unbalance:948.0593717785956,buffer_length: 13000
curren epsiode is 27, reward:-9.86089748462442,unbalance:758.5306436623549,buffer_length: 13000
curren epsiode is 28, reward:-11.710963606305787,unbalance:724.1699584856411,buffer_length: 13000
curren epsiode is 29, reward:-20.843975313041685,unbalance:1789.494443723487,buffer_length: 13000
curren epsiode is 30, reward:-11.396093209709205,unbalance:837.893963746923,buffer_length: 13000
curren epsiode is 31, reward:-12.45165638057048,unbalance:922.6645140831112,buffer_length: 14000
curren epsiode is 32, reward:-29.532411280838843,unbalance:2662.621079337404,buffer_length: 14000
curren epsiode is 33, reward:-9.52586447277067,unbalance:721.9736166956392,buffer_length: 14000
curren epsiode is 34, reward:-12.607547447707248,unbalance:999.6793306669049,buffer_length: 14000
curren epsiode is 35, reward:-12.054322230022521,unbalance:822.4497282392675,buffer_length: 14000
curren epsiode is 36, reward:-17.514366321283653,unbalance:1432.5074181894488,buffer_length: 14000
curren epsiode is 37, reward:-30.36550863019658,unbalance:2685.6170396663465,buffer_length: 14000
curren epsiode is 38, reward:-14.79070434388709,unbalance:1159.501638103823,buffer_length: 14000
curren epsiode is 39, reward:-5.2143214324054,unbalance:303.70215764434795,buffer_length: 14000
curren epsiode is 40, reward:-4.49805940662531,unbalance:180.83500212858658,buffer_length: 14000
curren epsiode is 41, reward:-12.798302890136561,unbalance:1030.3787568179466,buffer_length: 15000
curren epsiode is 42, reward:-3.9749960636783483,unbalance:158.81757112942609,buffer_length: 15000
curren epsiode is 43, reward:-14.662836919367104,unbalance:1189.9209199869233,buffer_length: 15000
curren epsiode is 44, reward:-9.169597171641033,unbalance:499.687650863749,buffer_length: 15000
curren epsiode is 45, reward:-18.19701996780652,unbalance:1434.462621488152,buffer_length: 15000
curren epsiode is 46, reward:-4.387531129522867,unbalance:206.23494303837106,buffer_length: 15000
curren epsiode is 47, reward:-18.156194934030587,unbalance:1457.1583076082086,buffer_length: 15000
curren epsiode is 48, reward:-10.022319184434943,unbalance:696.0126274902137,buffer_length: 15000
curren epsiode is 49, reward:-12.249009501414823,unbalance:859.9094064271981,buffer_length: 15000
curren epsiode is 50, reward:-5.786523377581113,unbalance:263.0842218919777,buffer_length: 15000
curren epsiode is 51, reward:-12.216820005042395,unbalance:981.8743743345797,buffer_length: 16000
curren epsiode is 52, reward:-10.18654356935014,unbalance:647.7527147387543,buffer_length: 16000
curren epsiode is 53, reward:-8.741224082223527,unbalance:452.4503076434339,buffer_length: 16000
curren epsiode is 54, reward:-8.36545781597229,unbalance:517.5586300980544,buffer_length: 16000
curren epsiode is 55, reward:-13.029108554295101,unbalance:956.2446114559549,buffer_length: 16000
curren epsiode is 56, reward:-26.817110515419646,unbalance:2299.150280403735,buffer_length: 16000
curren epsiode is 57, reward:-7.878439807259275,unbalance:444.4209960840534,buffer_length: 16000
curren epsiode is 58, reward:-7.387739128157066,unbalance:405.64618108618174,buffer_length: 16000
curren epsiode is 59, reward:-15.240535319922419,unbalance:1096.736648512194,buffer_length: 16000
curren epsiode is 60, reward:-8.574949612983852,unbalance:574.9720008186287,buffer_length: 16000
curren epsiode is 61, reward:-9.798382022709596,unbalance:714.6855868429487,buffer_length: 17000
curren epsiode is 62, reward:-10.71361547133803,unbalance:730.7384584572665,buffer_length: 17000
curren epsiode is 63, reward:-9.660936612501624,unbalance:635.2218513671193,buffer_length: 17000
curren epsiode is 64, reward:-6.693792942564497,unbalance:321.68372062024025,buffer_length: 17000
curren epsiode is 65, reward:-9.634675161807476,unbalance:750.9845332929717,buffer_length: 17000
curren epsiode is 66, reward:-3.157855692214559,unbalance:55.298983669557025,buffer_length: 17000
curren epsiode is 67, reward:-23.709373052612147,unbalance:2107.288937949231,buffer_length: 17000
curren epsiode is 68, reward:-3.4130648633770466,unbalance:155.1530820243241,buffer_length: 17000
curren epsiode is 69, reward:-15.082793841424776,unbalance:1195.4053406903279,buffer_length: 17000
curren epsiode is 70, reward:-6.844834800456356,unbalance:400.9468564747803,buffer_length: 17000
curren epsiode is 71, reward:-11.400538786560288,unbalance:778.489925151339,buffer_length: 18000
curren epsiode is 72, reward:-10.092027916441463,unbalance:651.5562945474672,buffer_length: 18000
curren epsiode is 73, reward:-20.327438548861906,unbalance:1633.0210124597043,buffer_length: 18000
curren epsiode is 74, reward:-9.092397454056083,unbalance:441.86873327141035,buffer_length: 18000
curren epsiode is 75, reward:-9.208597671383368,unbalance:532.4066636849006,buffer_length: 18000
curren epsiode is 76, reward:-20.758753407180848,unbalance:1644.8457950256102,buffer_length: 18000
curren epsiode is 77, reward:-28.454696989746807,unbalance:2406.220073083946,buffer_length: 18000
curren epsiode is 78, reward:-11.183352777555225,unbalance:596.003446671672,buffer_length: 18000
curren epsiode is 79, reward:-11.426144955337431,unbalance:638.1827672613113,buffer_length: 18000
curren epsiode is 80, reward:-7.768431384613979,unbalance:454.14650249791026,buffer_length: 18000
curren epsiode is 81, reward:-8.998587842047435,unbalance:484.9314237633874,buffer_length: 19000
curren epsiode is 82, reward:-11.726874210403064,unbalance:640.2887918304214,buffer_length: 19000
curren epsiode is 83, reward:-6.69495486298344,unbalance:297.4087092953248,buffer_length: 19000
curren epsiode is 84, reward:-12.099457052367422,unbalance:728.2199280275692,buffer_length: 19000
curren epsiode is 85, reward:-6.341426257721521,unbalance:188.97016717150416,buffer_length: 19000
curren epsiode is 86, reward:-3.565888128261472,unbalance:110.610323353381,buffer_length: 19000
curren epsiode is 87, reward:-14.842796716634199,unbalance:933.8852410820116,buffer_length: 19000
curren epsiode is 88, reward:-7.366974522987112,unbalance:374.704307190572,buffer_length: 19000
curren epsiode is 89, reward:-8.237921882380201,unbalance:503.9474882739902,buffer_length: 19000
curren epsiode is 90, reward:-22.620069289795182,unbalance:1872.3566268234065,buffer_length: 19000
curren epsiode is 91, reward:-25.561704989803946,unbalance:1946.9318154115704,buffer_length: 20000
curren epsiode is 92, reward:-8.920423107338689,unbalance:365.82088239917823,buffer_length: 20000
curren epsiode is 93, reward:-5.467984049985534,unbalance:232.11389183317084,buffer_length: 20000
curren epsiode is 94, reward:-7.242852687839083,unbalance:266.0674470578099,buffer_length: 20000
curren epsiode is 95, reward:-17.242519401178036,unbalance:1317.8770199427652,buffer_length: 20000
curren epsiode is 96, reward:-9.774658936330935,unbalance:526.4417771494169,buffer_length: 20000
curren epsiode is 97, reward:-9.87972634867211,unbalance:585.0626440324127,buffer_length: 20000
curren epsiode is 98, reward:-8.323342997375617,unbalance:473.09921697776974,buffer_length: 20000
curren epsiode is 99, reward:-12.175011001021101,unbalance:909.5052350392906,buffer_length: 20000
curren epsiode is 100, reward:-8.469940589871724,unbalance:384.3060787840471,buffer_length: 20000
curren epsiode is 101, reward:-24.641631184875873,unbalance:2000.909282931264,buffer_length: 21000
curren epsiode is 102, reward:-9.378237843481887,unbalance:479.64456425632176,buffer_length: 21000
curren epsiode is 103, reward:-5.47555695409345,unbalance:304.1967452652092,buffer_length: 21000
curren epsiode is 104, reward:-21.818378340779166,unbalance:1625.056838485851,buffer_length: 21000
curren epsiode is 105, reward:-6.2714219318652145,unbalance:308.554414679203,buffer_length: 21000
curren epsiode is 106, reward:-11.355284648934989,unbalance:788.6830625534616,buffer_length: 21000
curren epsiode is 107, reward:-7.547374626468672,unbalance:487.8059081880741,buffer_length: 21000
curren epsiode is 108, reward:-15.248450541916817,unbalance:1070.8186824634945,buffer_length: 21000
curren epsiode is 109, reward:-19.53883989149475,unbalance:1561.6729299789329,buffer_length: 21000
curren epsiode is 110, reward:-20.250140731330337,unbalance:1565.7860581480284,buffer_length: 21000
curren epsiode is 111, reward:-8.256769154689112,unbalance:389.5763556546256,buffer_length: 22000
curren epsiode is 112, reward:-24.428541592864594,unbalance:1988.409775635057,buffer_length: 22000
curren epsiode is 113, reward:-6.7083068850147045,unbalance:259.9938151415442,buffer_length: 22000
curren epsiode is 114, reward:-4.985805491809646,unbalance:153.9990868398393,buffer_length: 22000
curren epsiode is 115, reward:-8.53125266901366,unbalance:529.8500911887593,buffer_length: 22000
curren epsiode is 116, reward:-8.3657575513674,unbalance:411.15107960110134,buffer_length: 22000
curren epsiode is 117, reward:-7.402507179579649,unbalance:336.3931063947325,buffer_length: 22000
curren epsiode is 118, reward:-20.216125224433426,unbalance:1702.1611013587587,buffer_length: 22000
curren epsiode is 119, reward:-5.852806412586113,unbalance:160.66160268990734,buffer_length: 22000
curren epsiode is 120, reward:-9.755214884528367,unbalance:474.31404980992096,buffer_length: 22000
curren epsiode is 121, reward:-5.780485439560304,unbalance:133.22261569752726,buffer_length: 23000
curren epsiode is 122, reward:-24.393732380819085,unbalance:1894.6478872953217,buffer_length: 23000
curren epsiode is 123, reward:-9.311671701929443,unbalance:408.1722655298822,buffer_length: 23000
curren epsiode is 124, reward:-16.124030608074424,unbalance:1004.2053817589676,buffer_length: 23000
curren epsiode is 125, reward:-24.102661849809383,unbalance:1880.2703767624557,buffer_length: 23000
curren epsiode is 126, reward:-7.559662614171415,unbalance:392.59468764453237,buffer_length: 23000
curren epsiode is 127, reward:-4.489140019060985,unbalance:44.705251089897644,buffer_length: 23000
curren epsiode is 128, reward:-6.715954660933817,unbalance:384.9678929001081,buffer_length: 23000
curren epsiode is 129, reward:-20.080318324655256,unbalance:1474.5159157198693,buffer_length: 23000
curren epsiode is 130, reward:-16.94900701114902,unbalance:1075.4482749979904,buffer_length: 23000
curren epsiode is 131, reward:-7.78715978011019,unbalance:302.81097368131793,buffer_length: 24000
curren epsiode is 132, reward:-9.425638317515174,unbalance:438.07537437974594,buffer_length: 24000
curren epsiode is 133, reward:-11.997106741416586,unbalance:669.973833662018,buffer_length: 24000
curren epsiode is 134, reward:-9.591342838443609,unbalance:549.5477760895302,buffer_length: 24000
curren epsiode is 135, reward:-17.56557412385083,unbalance:1422.4688372354,buffer_length: 24000
curren epsiode is 136, reward:-4.784355527321888,unbalance:194.31471053956093,buffer_length: 24000
curren epsiode is 137, reward:-4.9641102040256175,unbalance:93.45033921946785,buffer_length: 24000
curren epsiode is 138, reward:-6.962024711525424,unbalance:272.20305378169144,buffer_length: 24000
curren epsiode is 139, reward:-24.289309597732313,unbalance:1818.111939523811,buffer_length: 24000
curren epsiode is 140, reward:-7.413615134206162,unbalance:322.6220474950668,buffer_length: 24000
curren epsiode is 141, reward:-8.325646410096887,unbalance:472.03770269147935,buffer_length: 25000
curren epsiode is 142, reward:-5.172572972058809,unbalance:93.10340990294611,buffer_length: 25000
curren epsiode is 143, reward:-25.983277392732287,unbalance:1860.5167510557565,buffer_length: 25000
curren epsiode is 144, reward:-5.019790016739168,unbalance:138.4520877504508,buffer_length: 25000
curren epsiode is 145, reward:-7.967691520391924,unbalance:351.2320079796873,buffer_length: 25000
curren epsiode is 146, reward:-3.53766349615897,unbalance:168.05883573589392,buffer_length: 25000
curren epsiode is 147, reward:-7.508983874776037,unbalance:472.6282199941775,buffer_length: 25000
curren epsiode is 148, reward:-4.579626031388894,unbalance:88.72081800849222,buffer_length: 25000
curren epsiode is 149, reward:-7.495982383132554,unbalance:339.1995460260167,buffer_length: 25000
curren epsiode is 150, reward:-11.429841332264484,unbalance:647.1262216509567,buffer_length: 25000
curren epsiode is 151, reward:-7.763108035777638,unbalance:342.1215520366519,buffer_length: 26000
curren epsiode is 152, reward:-11.615637027701366,unbalance:748.5653626329085,buffer_length: 26000
curren epsiode is 153, reward:-2.940327472933666,unbalance:78.30644169740283,buffer_length: 26000
curren epsiode is 154, reward:-6.526147648387648,unbalance:251.17284496832875,buffer_length: 26000
curren epsiode is 155, reward:-6.317032100590135,unbalance:109.08869902710747,buffer_length: 26000
curren epsiode is 156, reward:-19.96629284071057,unbalance:1626.6000002179323,buffer_length: 26000
curren epsiode is 157, reward:-13.687073592737113,unbalance:799.2801038955631,buffer_length: 26000
curren epsiode is 158, reward:-4.859911459178892,unbalance:110.19976993706423,buffer_length: 26000
curren epsiode is 159, reward:-6.96486300007887,unbalance:186.78587830257794,buffer_length: 26000
curren epsiode is 160, reward:-9.8183074972778,unbalance:429.8479439331904,buffer_length: 26000
curren epsiode is 161, reward:-28.153686779565238,unbalance:2315.323614160129,buffer_length: 27000
curren epsiode is 162, reward:-20.178789891948743,unbalance:1537.3096630585599,buffer_length: 27000
curren epsiode is 163, reward:-4.566174976803625,unbalance:196.3899102163131,buffer_length: 27000
curren epsiode is 164, reward:-10.103019111597051,unbalance:590.2776255265882,buffer_length: 27000
curren epsiode is 165, reward:-8.490442482702576,unbalance:387.19083995706507,buffer_length: 27000
curren epsiode is 166, reward:-19.363768533158293,unbalance:1483.7582686608553,buffer_length: 27000
curren epsiode is 167, reward:-9.180430503219707,unbalance:552.2072257518228,buffer_length: 27000
curren epsiode is 168, reward:-18.021297431198956,unbalance:1336.8332982677505,buffer_length: 27000
curren epsiode is 169, reward:-10.786170076825963,unbalance:476.84323870837136,buffer_length: 27000
curren epsiode is 170, reward:-7.795474057062824,unbalance:403.86064275451133,buffer_length: 27000
curren epsiode is 171, reward:-8.115625173520428,unbalance:361.5629388795437,buffer_length: 28000
curren epsiode is 172, reward:-7.220219198966839,unbalance:244.3118886622138,buffer_length: 28000
curren epsiode is 173, reward:-4.882713676628223,unbalance:125.68268416733098,buffer_length: 28000
curren epsiode is 174, reward:-10.552286910493391,unbalance:550.3940044948,buffer_length: 28000
curren epsiode is 175, reward:-9.648711004562994,unbalance:533.6592100801109,buffer_length: 28000
curren epsiode is 176, reward:-9.543431047773142,unbalance:347.54906373573414,buffer_length: 28000
curren epsiode is 177, reward:-19.800610387306488,unbalance:1603.1428272604915,buffer_length: 28000
curren epsiode is 178, reward:-3.973064185664586,unbalance:136.3158134083507,buffer_length: 28000
curren epsiode is 179, reward:-4.318095341427104,unbalance:77.41356006642108,buffer_length: 28000
curren epsiode is 180, reward:-13.17990387984214,unbalance:765.0909382263627,buffer_length: 28000
curren epsiode is 181, reward:-3.805474361619237,unbalance:79.39812743600943,buffer_length: 29000
curren epsiode is 182, reward:-9.86222137089318,unbalance:586.109381922932,buffer_length: 29000
curren epsiode is 183, reward:-16.366588293682533,unbalance:1241.8883473938533,buffer_length: 29000
curren epsiode is 184, reward:-5.001658728177641,unbalance:108.39993670423667,buffer_length: 29000
