buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 0, reward:-20.31489192789017,unbalance:1676.320429164003,buffer_length: 10000
curren epsiode is 1, reward:-33.778507017203786,unbalance:3320.4240848124623,buffer_length: 11000
curren epsiode is 2, reward:-22.662910042909655,unbalance:2207.717464598329,buffer_length: 11000
curren epsiode is 3, reward:-18.224361462988536,unbalance:1793.2519285479193,buffer_length: 11000
curren epsiode is 4, reward:-19.839526201549976,unbalance:1871.8014241784374,buffer_length: 11000
curren epsiode is 5, reward:-23.096419757524057,unbalance:2263.47791690415,buffer_length: 11000
curren epsiode is 6, reward:-17.090564324720614,unbalance:1613.847080697433,buffer_length: 11000
curren epsiode is 7, reward:-21.76780174255656,unbalance:2103.938136982461,buffer_length: 11000
curren epsiode is 8, reward:-14.967864500474722,unbalance:1422.86774321746,buffer_length: 11000
curren epsiode is 9, reward:-11.917513288565948,unbalance:1148.3200595456046,buffer_length: 11000
curren epsiode is 10, reward:-28.47380856856265,unbalance:2792.241205701785,buffer_length: 11000
curren epsiode is 11, reward:-18.85254074363302,unbalance:1788.734423247222,buffer_length: 12000
curren epsiode is 12, reward:-30.352983658706933,unbalance:2887.0126335406144,buffer_length: 12000
curren epsiode is 13, reward:-22.807116158213297,unbalance:2208.2904585365654,buffer_length: 12000
curren epsiode is 14, reward:-16.254490077199765,unbalance:1561.5257349514882,buffer_length: 12000
curren epsiode is 15, reward:-16.59364953897522,unbalance:1581.0908375007464,buffer_length: 12000
curren epsiode is 16, reward:-9.833378290373439,unbalance:834.4183353101043,buffer_length: 12000
curren epsiode is 17, reward:-23.037444793940015,unbalance:2195.036978814733,buffer_length: 12000
curren epsiode is 18, reward:-26.49960264143054,unbalance:2481.4919148044,buffer_length: 12000
curren epsiode is 19, reward:-19.009305258710935,unbalance:1749.0239665654422,buffer_length: 12000
curren epsiode is 20, reward:-15.513433899763855,unbalance:1451.5645805467534,buffer_length: 12000
curren epsiode is 21, reward:-18.868054117155403,unbalance:1699.3569775933029,buffer_length: 13000
curren epsiode is 22, reward:-17.34534863113305,unbalance:1557.478055701448,buffer_length: 13000
curren epsiode is 23, reward:-15.264796142004538,unbalance:1362.8944353520503,buffer_length: 13000
curren epsiode is 24, reward:-13.854928696106047,unbalance:1283.4882999984682,buffer_length: 13000
curren epsiode is 25, reward:-29.404888270701715,unbalance:2534.9997394570355,buffer_length: 13000
curren epsiode is 26, reward:-13.906545324912887,unbalance:1177.2233759918142,buffer_length: 13000
curren epsiode is 27, reward:-10.989506687162521,unbalance:855.3311168404457,buffer_length: 13000
curren epsiode is 28, reward:-15.899989050328488,unbalance:1227.8006421433138,buffer_length: 13000
curren epsiode is 29, reward:-22.36957832693042,unbalance:1819.110824618038,buffer_length: 13000
curren epsiode is 30, reward:-14.70014592853253,unbalance:1267.4415734894174,buffer_length: 13000
curren epsiode is 31, reward:-14.35428860900363,unbalance:1089.0529364083839,buffer_length: 14000
curren epsiode is 32, reward:-30.047478666974758,unbalance:2557.3353352243985,buffer_length: 14000
curren epsiode is 33, reward:-10.161198703244079,unbalance:841.4031168731914,buffer_length: 14000
curren epsiode is 34, reward:-13.937383373259022,unbalance:1166.9189906810163,buffer_length: 14000
curren epsiode is 35, reward:-11.710007126412098,unbalance:811.1379932497979,buffer_length: 14000
curren epsiode is 36, reward:-18.02796356812716,unbalance:1450.6282421165367,buffer_length: 14000
curren epsiode is 37, reward:-31.692359930545127,unbalance:2760.1178325568962,buffer_length: 14000
curren epsiode is 38, reward:-13.00169232753427,unbalance:799.9534849239367,buffer_length: 14000
curren epsiode is 39, reward:-5.646580248175943,unbalance:439.59624363538546,buffer_length: 14000
curren epsiode is 40, reward:-6.4239031551177055,unbalance:442.2672384101098,buffer_length: 14000
curren epsiode is 41, reward:-12.076646775850273,unbalance:828.7539598980586,buffer_length: 15000
curren epsiode is 42, reward:-4.13590214523785,unbalance:221.50830300173857,buffer_length: 15000
curren epsiode is 43, reward:-12.856063279082898,unbalance:647.4966195272093,buffer_length: 15000
curren epsiode is 44, reward:-9.646872452941743,unbalance:305.7487100218715,buffer_length: 15000
curren epsiode is 45, reward:-17.761671781149502,unbalance:996.0591044099856,buffer_length: 15000
curren epsiode is 46, reward:-6.225198429642986,unbalance:185.8883124755318,buffer_length: 15000
curren epsiode is 47, reward:-19.32642231260848,unbalance:1369.1155837148053,buffer_length: 15000
curren epsiode is 48, reward:-9.908572597439122,unbalance:506.5274982040224,buffer_length: 15000
curren epsiode is 49, reward:-11.378094597877867,unbalance:317.379942223455,buffer_length: 15000
curren epsiode is 50, reward:-7.173311100462731,unbalance:194.49558997254832,buffer_length: 15000
curren epsiode is 51, reward:-14.005612607544618,unbalance:862.1333266034187,buffer_length: 16000
curren epsiode is 52, reward:-10.737147290574699,unbalance:157.78952253668902,buffer_length: 16000
curren epsiode is 53, reward:-10.877469804024411,unbalance:139.5287354369244,buffer_length: 16000
curren epsiode is 54, reward:-9.822786843115706,unbalance:262.25619400493946,buffer_length: 16000
curren epsiode is 55, reward:-14.868507302503025,unbalance:441.5541183826325,buffer_length: 16000
curren epsiode is 56, reward:-28.948996193052835,unbalance:1579.078214735855,buffer_length: 16000
curren epsiode is 57, reward:-10.317679029387456,unbalance:330.2662305393398,buffer_length: 16000
curren epsiode is 58, reward:-10.50409483260236,unbalance:246.21371929737802,buffer_length: 16000
curren epsiode is 59, reward:-17.007654909430304,unbalance:1002.244191717856,buffer_length: 16000
curren epsiode is 60, reward:-11.136567028185551,unbalance:455.9326645153283,buffer_length: 16000
curren epsiode is 61, reward:-10.701206923638624,unbalance:325.4047289298588,buffer_length: 17000
curren epsiode is 62, reward:-13.281210402467812,unbalance:538.4048814548702,buffer_length: 17000
curren epsiode is 63, reward:-11.788617606068028,unbalance:517.562407615495,buffer_length: 17000
curren epsiode is 64, reward:-9.897868868536385,unbalance:277.6595915815203,buffer_length: 17000
curren epsiode is 65, reward:-10.578374389430719,unbalance:478.67662203817696,buffer_length: 17000
curren epsiode is 66, reward:-6.424829167594721,unbalance:129.08736964825314,buffer_length: 17000
curren epsiode is 67, reward:-23.668952086079173,unbalance:1722.4811682507416,buffer_length: 17000
curren epsiode is 68, reward:-5.027032676948704,unbalance:144.05698849537936,buffer_length: 17000
curren epsiode is 69, reward:-16.430953187003343,unbalance:1053.0855844130624,buffer_length: 17000
curren epsiode is 70, reward:-8.359821943952529,unbalance:304.6485455532299,buffer_length: 17000
curren epsiode is 71, reward:-12.522581177995146,unbalance:575.5284938138759,buffer_length: 18000
